2020-12-08 17:03:53|null|{"newsKey":"openion","carousel_value":"openion_news_1977445","MESSENGER_ID":"4856103587734863","fbclid":"IwAR03Vcwsye64yJckRkjVOBHuUQnjy70XzoGzVt4diT9sYgSezxNPIJFKV9o"}|"openion"|"https:\/\/www.thedailystar.net\/opinion\/news\/facade-workers-safety-beginning-show-cracks-during-the-pandemic-1977445"|
2020-12-08 17:12:15|null|{"newsKey":"toggle","carousel_value":"toggle_news_1977317","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/four-things-watch-apples-iphone-launch-event-1977317"|
2020-12-08 17:12:15|null|{"newsKey":"toggle","carousel_value":"toggle_news_1974945","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/cutting-down-screen-time-during-covid-19-1974945"|
2020-12-08 17:12:15|null|{"newsKey":"toggle","carousel_value":"toggle_news_1977761","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/top-five-takeaways-apples-iphone-launch-event-1977761"|
2020-12-08 17:12:15|null|{"newsKey":"toggle","carousel_value":"toggle_news_1974945","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/cutting-down-screen-time-during-covid-19-1974945"|
2020-12-08 17:12:15|null|{"newsKey":"toggle","carousel_value":"toggle_news_1977761","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/top-five-takeaways-apples-iphone-launch-event-1977761"|
2020-12-08 17:12:15|null|{"newsKey":"toggle","carousel_value":"toggle_news_1977317","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/four-things-watch-apples-iphone-launch-event-1977317"|
2020-12-08 17:12:19|null|{"newsKey":"toggle","carousel_value":"toggle_news_1977317","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/four-things-watch-apples-iphone-launch-event-1977317"|
2020-12-08 17:12:20|null|{"newsKey":"toggle","carousel_value":"toggle_news_1977317","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/four-things-watch-apples-iphone-launch-event-1977317"|
2020-12-08 17:12:20|null|{"newsKey":"toggle","carousel_value":"toggle_news_1977761","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/top-five-takeaways-apples-iphone-launch-event-1977761"|
2020-12-08 17:12:20|null|{"newsKey":"toggle","carousel_value":"toggle_news_1974945","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/cutting-down-screen-time-during-covid-19-1974945"|
2020-12-08 17:12:21|null|{"newsKey":"toggle","carousel_value":"toggle_news_1977317","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/four-things-watch-apples-iphone-launch-event-1977317"|
2020-12-08 17:12:22|null|{"newsKey":"toggle","carousel_value":"toggle_news_1977761","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/top-five-takeaways-apples-iphone-launch-event-1977761"|
2020-12-08 17:12:27|null|{"newsKey":"toggle","carousel_value":"toggle_news_1977761","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/top-five-takeaways-apples-iphone-launch-event-1977761"|
2020-12-08 17:12:27|null|{"newsKey":"toggle","carousel_value":"toggle_news_1974945","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/cutting-down-screen-time-during-covid-19-1974945"|
2020-12-08 17:12:32|null|{"newsKey":"toggle","carousel_value":"toggle_news_1977317","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/four-things-watch-apples-iphone-launch-event-1977317"|
2020-12-08 17:12:32|null|{"newsKey":"toggle","carousel_value":"toggle_news_1974945","MESSENGER_ID":"4856103587734863"}|"toggle"|"https:\/\/www.thedailystar.net\/toggle\/news\/cutting-down-screen-time-during-covid-19-1974945"|
2020-12-08 17:13:45|null|{"newsKey":"shout","carousel_value":"shout_news_1974085","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/hsc-2020-cancelled-you-cant-make-everyone-happy-1974085"|
2020-12-08 17:13:45|null|{"newsKey":"shout","carousel_value":"shout_news_1974293","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/the-stages-deciding-post-feminist-opinions-1974293"|
2020-12-08 17:13:45|null|{"newsKey":"shout","carousel_value":"shout_news_1976805","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/the-daily-star-genius-first-round-match-2-1976805"|
2020-12-08 17:13:45|null|{"newsKey":"shout","carousel_value":"shout_news_1974085","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/hsc-2020-cancelled-you-cant-make-everyone-happy-1974085"|
2020-12-08 17:13:45|null|{"newsKey":"shout","carousel_value":"shout_news_1976805","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/the-daily-star-genius-first-round-match-2-1976805"|
2020-12-08 17:13:45|null|{"newsKey":"shout","carousel_value":"shout_news_1974293","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/the-stages-deciding-post-feminist-opinions-1974293"|
2020-12-08 17:13:48|null|{"newsKey":"shout","carousel_value":"shout_news_1976805","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/the-daily-star-genius-first-round-match-2-1976805"|
2020-12-08 17:13:50|null|{"newsKey":"shout","carousel_value":"shout_news_1976805","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/the-daily-star-genius-first-round-match-2-1976805"|
2020-12-08 17:13:50|null|{"newsKey":"shout","carousel_value":"shout_news_1974085","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/hsc-2020-cancelled-you-cant-make-everyone-happy-1974085"|
2020-12-08 17:13:51|null|{"newsKey":"shout","carousel_value":"shout_news_1974293","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/the-stages-deciding-post-feminist-opinions-1974293"|
2020-12-08 17:13:52|null|{"newsKey":"shout","carousel_value":"shout_news_1974085","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/hsc-2020-cancelled-you-cant-make-everyone-happy-1974085"|
2020-12-08 17:13:54|null|{"newsKey":"shout","carousel_value":"shout_news_1976805","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/the-daily-star-genius-first-round-match-2-1976805"|
