2020-12-25 13:12:16|null|{"newsKey":"sports","carousel_value":"art_news_2007905","MESSENGER_ID":"5368709159821179"}|"sports"|null|
2020-12-25 18:00:35|null|{"newsKey":"topnews","carousel_value":"topnews_news_2017109","MESSENGER_ID":"5368709159821179"}|"topnews"|"https:\/\/www.thedailystar.net\/country\/news\/journalist-kajol-released-jail-son-confirms-2017109"|
2020-12-25 18:00:35|null|{"newsKey":"topnews","carousel_value":"topnews_news_2017193","MESSENGER_ID":"5368709159821179"}|"topnews"|"https:\/\/www.thedailystar.net\/world\/news\/erdogan-says-turkey-wants-better-ties-israel-2017193"|
2020-12-25 18:00:35|null|{"newsKey":"topnews","carousel_value":"topnews_news_2016793","MESSENGER_ID":"5368709159821179"}|"topnews"|"https:\/\/www.thedailystar.net\/frontpage\/news\/no-need-panic-over-new-strain-2016793"|
2020-12-25 18:00:35|null|{"newsKey":"topnews","carousel_value":"topnews_news_2017165","MESSENGER_ID":"5368709159821179"}|"topnews"|"https:\/\/www.thedailystar.net\/coronavirus-deadly-new-threat\/news\/covid-19-20-die-1163-infected-2113-recover-24-hours-2017165"|
2020-12-25 18:00:35|null|{"newsKey":"topnews","carousel_value":"topnews_news_2016801","MESSENGER_ID":"5368709159821179"}|"topnews"|"https:\/\/www.thedailystar.net\/frontpage\/news\/gambling-greenery-2016801"|
2020-12-25 18:00:35|null|{"newsKey":"topnews","carousel_value":"topnews_news_2016801","MESSENGER_ID":"5368709159821179"}|"topnews"|"https:\/\/www.thedailystar.net\/frontpage\/news\/gambling-greenery-2016801"|
2020-12-25 18:00:35|null|{"newsKey":"topnews","carousel_value":"topnews_news_2017193","MESSENGER_ID":"5368709159821179"}|"topnews"|"https:\/\/www.thedailystar.net\/world\/news\/erdogan-says-turkey-wants-better-ties-israel-2017193"|
2020-12-25 18:00:35|null|{"newsKey":"topnews","carousel_value":"topnews_news_2016793","MESSENGER_ID":"5368709159821179"}|"topnews"|"https:\/\/www.thedailystar.net\/frontpage\/news\/no-need-panic-over-new-strain-2016793"|
2020-12-25 18:00:35|null|{"newsKey":"topnews","carousel_value":"topnews_news_2017165","MESSENGER_ID":"5368709159821179"}|"topnews"|"https:\/\/www.thedailystar.net\/coronavirus-deadly-new-threat\/news\/covid-19-20-die-1163-infected-2113-recover-24-hours-2017165"|
2020-12-25 18:00:36|null|{"newsKey":"topnews","carousel_value":"topnews_news_2017109","MESSENGER_ID":"5368709159821179"}|"topnews"|"https:\/\/www.thedailystar.net\/country\/news\/journalist-kajol-released-jail-son-confirms-2017109"|
